fecha,valor
05-09-25,1574.96
06-09-25,1575.92
07-09-25,1575.92
08-09-25,1575.92
09-09-25,1578.79
10-09-25,1579.75
11-09-25,1580.71
12-09-25,1581.67
13-09-25,1582.63
14-09-25,1582.63
15-09-25,1582.63
16-09-25,1585.52
17-09-25,1586.51
18-09-25,1587.51
19-09-25,1588.50
20-09-25,1589.50
21-09-25,1589.50
22-09-25,1589.50
23-09-25,1592.50
24-09-25,1593.49
25-09-25,1594.50
26-09-25,1595.50
27-09-25,1596.50
28-09-25,1596.50
29-09-25,1596.50
30-09-25,1599.50
01-10-25,1600.51
02-10-25,1601.51
03-10-25,1602.52
04-10-25,1603.52
05-10-25,1603.52
06-10-25,1603.52
